,date,station_complex_id,station_complex,borough,routes,latitude,longitude,monthly_ridership
238,2022-02,N546,"Church Av (F,G)",BK,"F,G",40.644039154052734,-73.97967529296875,141337
239,2022-02,N548,Ditmas Av (F),BK,F,40.6361198425293,-73.9781723022461,50958
240,2022-02,N549,18 Av (F),BK,F,40.62975311279297,-73.97697448730469,46435
241,2022-02,N551,Avenue I (F),BK,F,40.62532043457031,-73.97612762451172,24592
242,2022-02,N553,Bay Pkwy (F),BK,F,40.62076950073242,-73.97526550292969,15940
243,2022-02,N555,Avenue N (F),BK,F,40.61513900756836,-73.97419738769531,34290
244,2022-02,N556,Avenue P (F),BK,F,40.60894393920898,-73.9730224609375,29415
245,2022-02,N557,Kings Hwy (F),BK,F,40.60321807861328,-73.97235870361328,43748
246,2022-02,N559,Avenue U (F),BK,F,40.59606170654297,-73.97335815429688,21147
247,2022-02,N561,Avenue X (F),BK,F,40.58961868286133,-73.97425079345703,32439
248,2022-02,N562,Neptune Av (F),BK,F,40.58101272583008,-73.97457122802734,17993
249,2022-02,N600,57 St (F),M,F,40.763973236083984,-73.97744750976562,168559
250,2022-02,N601,"Lexington Av-63 St (F,Q)",M,"F,Q",40.76462936401367,-73.96611022949219,276404
251,2022-02,N602,Roosevelt Island (F),M,F,40.7591438293457,-73.95326232910156,107283
252,2022-02,N603,21 St-Queensbridge (F),Q,F,40.75420379638672,-73.94283294677734,133524
253,2022-02,N604,Jamaica-Van Wyck (E),Q,E,40.70256423950195,-73.81685638427734,70278
254,2022-02,N605,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,"J,E,Z",40.70048522949219,-73.80796813964844,311225
255,2022-02,N606,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"J,E,Z",40.7021484375,-73.80110931396484,389108
256,2022-02,N700,72 St (Q),M,Q,40.768798828125,-73.95842742919922,393123
257,2022-02,N701,86 St (Q),M,Q,40.77788925170898,-73.95178985595703,318619
258,2022-02,N702,96 St (Q),M,Q,40.78431701660156,-73.94715118408203,238035
259,2022-02,R101,"South Ferry (1)/Whitehall St (R,W)",M,"1,R,,W",40.703086853027344,-74.01299285888672,278280
260,2022-02,R103,Rector St (1),M,1,40.70751190185547,-74.01378631591797,83477
261,2022-02,R106,WTC Cortlandt (1),M,1,40.71183395385742,-74.01219177246094,126036
262,2022-02,R111,"Wall St (2,3)",M,"3,2",40.70682144165039,-74.00910186767578,173872
263,2022-02,R116,"Chambers St (1,2,3)",M,"3,1,2",40.715476989746094,-74.00926971435547,214378
264,2022-02,R117,Franklin St (1),M,1,40.71931838989258,-74.00688934326172,65105
265,2022-02,R119,Canal St (1),M,1,40.72285461425781,-74.00627899169922,58744
266,2022-02,R123,Houston St (1),M,1,40.72825241088867,-74.00536346435547,141014
267,2022-02,R125,Christopher St-Sheridan Sq (1),M,1,40.7334213256836,-74.0029067993164,144826
268,2022-02,R129,18 St (1),M,1,40.74103927612305,-73.99787139892578,94488
269,2022-02,R131,23 St (1),M,1,40.74407958984375,-73.99565887451172,186297
270,2022-02,R133,28 St (1),M,1,40.747215270996094,-73.99336242675781,159784
271,2022-02,R135,"34 St-Penn Station (1,2,3)",M,"3,1,2",40.75037384033203,-73.99105834960938,829059
272,2022-02,R154,50 St (1),M,1,40.76172637939453,-73.98384857177734,248132
273,2022-02,R160,66 St-Lincoln Center (1),M,1,40.77344131469727,-73.98220825195312,237781
274,2022-02,R161B,"72 St (1,2,3)",M,"3,1,2",40.7784538269043,-73.98197174072266,505565
275,2022-02,R162,79 St (1),M,1,40.783935546875,-73.97991943359375,191252
